"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 15:11:39 GMT 2023","Wed Feb 15 15:12:19 GMT 2023","40118","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","9. Complete Risk Profile and navigate to Review",""
"passed","Wed Feb 15 15:49:28 GMT 2023","Wed Feb 15 15:49:48 GMT 2023","19214","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal9","","","","11. Complete Applicants",""
"passed","Wed Feb 15 15:46:36 GMT 2023","Wed Feb 15 15:46:50 GMT 2023","14233","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal9","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"passed","Wed Feb 15 14:57:21 GMT 2023","Wed Feb 15 14:57:35 GMT 2023","14073","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","8. Navigate to Risk Profile",""
"passed","Wed Feb 15 15:19:19 GMT 2023","Wed Feb 15 15:19:33 GMT 2023","14613","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal5","","","","12. Complete Bank Details",""
"passed","Wed Feb 15 15:09:59 GMT 2023","Wed Feb 15 15:10:10 GMT 2023","10547","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","3. Create new Individual investment account",""
"passed","Wed Feb 15 15:39:07 GMT 2023","Wed Feb 15 15:39:31 GMT 2023","24190","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal8","","","","5. Complete Build Your Portfolio",""
"passed","Wed Feb 15 15:47:40 GMT 2023","Wed Feb 15 15:47:56 GMT 2023","15469","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal9","","","","8. Navigate to Risk Profile",""
"passed","Wed Feb 15 15:17:11 GMT 2023","Wed Feb 15 15:17:25 GMT 2023","14733","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal5","","","","8. Navigate to Risk Profile",""
"passed","Wed Feb 15 15:24:24 GMT 2023","Wed Feb 15 15:24:42 GMT 2023","17859","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal6","","","","11. Complete Applicants",""
"passed","Wed Feb 15 15:47:32 GMT 2023","Wed Feb 15 15:47:40 GMT 2023","8831","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal9","","","","7. Review Review Page",""
"passed","Wed Feb 15 15:10:24 GMT 2023","Wed Feb 15 15:10:47 GMT 2023","23545","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","5. Complete Build Your Portfolio",""
