"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 15 15:38:41 GMT 2023","Wed Feb 15 15:40:21 GMT 2023","100252","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","11. Complete Applicants",""
"passed","Wed Feb 15 15:12:00 GMT 2023","Wed Feb 15 15:12:07 GMT 2023","7576","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","1. Validate login credentials1",""
"failed","Wed Feb 15 15:40:21 GMT 2023","Wed Feb 15 15:42:03 GMT 2023","102231","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","12. Complete Bank Details",""
"failed","Wed Feb 15 15:33:40 GMT 2023","Wed Feb 15 15:35:20 GMT 2023","100190","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","10. Scrape results from Review and navigate to Applicants",""
"failed","Wed Feb 15 15:20:16 GMT 2023","Wed Feb 15 15:21:56 GMT 2023","100203","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","3. Create new Individual investment account",""
"failed","Wed Feb 15 15:30:18 GMT 2023","Wed Feb 15 15:32:00 GMT 2023","102222","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","9. Complete Risk Profile and navigate to Review",""
"passed","Wed Feb 15 15:16:43 GMT 2023","Wed Feb 15 15:16:46 GMT 2023","2629","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal2","","","","1. Validate login credentials2",""
"failed","Wed Feb 15 15:21:56 GMT 2023","Wed Feb 15 15:23:37 GMT 2023","100249","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"failed","Wed Feb 15 15:18:36 GMT 2023","Wed Feb 15 15:20:16 GMT 2023","100311","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","2.Disclaimer Alert is present",""
"failed","Wed Feb 15 15:16:51 GMT 2023","Wed Feb 15 15:18:36 GMT 2023","104951","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","1. Validate login credentials",""
"failed","Wed Feb 15 15:23:37 GMT 2023","Wed Feb 15 15:25:17 GMT 2023","100219","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","5. Complete Build Your Portfolio",""
"passed","Wed Feb 15 15:15:33 GMT 2023","Wed Feb 15 15:15:52 GMT 2023","18330","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","11. Complete Applicants",""
"failed","Wed Feb 15 15:28:37 GMT 2023","Wed Feb 15 15:30:18 GMT 2023","100221","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","8. Navigate to Risk Profile",""
