"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 07:20:32 GMT 2023","Thu Feb 16 07:20:49 GMT 2023","16787","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","11. Complete Applicants",""
"passed","Thu Feb 16 07:19:56 GMT 2023","Thu Feb 16 07:20:04 GMT 2023","8349","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","10. Scrape results from Review and navigate to Applicants",""
"passed","Thu Feb 16 07:18:15 GMT 2023","Thu Feb 16 07:18:34 GMT 2023","18994","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","5. Complete Build Your Portfolio",""
"passed","Thu Feb 16 07:17:37 GMT 2023","Thu Feb 16 07:17:37 GMT 2023","81","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","2.Disclaimer Alert is present",""
"passed","Thu Feb 16 07:19:17 GMT 2023","Thu Feb 16 07:19:49 GMT 2023","32130","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","9. Complete Risk Profile and navigate to Review",""
"passed","Thu Feb 16 07:17:16 GMT 2023","Thu Feb 16 07:17:37 GMT 2023","20915","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","1. Validate login credentials1",""
"passed","Thu Feb 16 07:18:44 GMT 2023","Thu Feb 16 07:18:51 GMT 2023","6737","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","7. Review Review Page",""
"passed","Thu Feb 16 07:18:51 GMT 2023","Thu Feb 16 07:19:17 GMT 2023","25826","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","8. Navigate to Risk Profile",""
"passed","Thu Feb 16 07:17:37 GMT 2023","Thu Feb 16 07:18:05 GMT 2023","27769","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","3. Create new Individual investment account",""
"passed","Thu Feb 16 07:18:05 GMT 2023","Thu Feb 16 07:18:15 GMT 2023","10642","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"failed","Thu Feb 16 07:21:00 GMT 2023","Thu Feb 16 07:21:32 GMT 2023","31992","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","13. Complete Final Review",""
"passed","Thu Feb 16 07:20:49 GMT 2023","Thu Feb 16 07:21:00 GMT 2023","11612","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","12. Complete Bank Details",""
"passed","Thu Feb 16 07:18:35 GMT 2023","Thu Feb 16 07:18:44 GMT 2023","9491","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","6. Complete Ethical Overlay",""
