"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 08:06:28 GMT 2023","Thu Feb 16 08:06:42 GMT 2023","13598","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","12. Complete Bank Details",""
"passed","Thu Feb 16 08:04:43 GMT 2023","Thu Feb 16 08:04:57 GMT 2023","13964","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","8. Navigate to Risk Profile",""
"passed","Thu Feb 16 08:04:25 GMT 2023","Thu Feb 16 08:04:36 GMT 2023","11203","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","6. Complete Ethical Overlay",""
"passed","Thu Feb 16 08:03:41 GMT 2023","Thu Feb 16 08:03:56 GMT 2023","14651","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","3. Create new Individual investment account",""
"passed","Thu Feb 16 08:03:20 GMT 2023","Thu Feb 16 08:03:41 GMT 2023","21091","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","1. Validate login credentials1",""
"passed","Thu Feb 16 08:06:42 GMT 2023","Thu Feb 16 08:07:08 GMT 2023","25964","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","13. Complete Final Review",""
"passed","Thu Feb 16 08:06:03 GMT 2023","Thu Feb 16 08:06:28 GMT 2023","24850","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","11. Complete Applicants",""
"passed","Thu Feb 16 08:03:56 GMT 2023","Thu Feb 16 08:04:09 GMT 2023","12288","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"passed","Thu Feb 16 08:05:33 GMT 2023","Thu Feb 16 08:05:39 GMT 2023","6684","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","10. Scrape results from Review and navigate to Applicants",""
"passed","Thu Feb 16 08:03:41 GMT 2023","Thu Feb 16 08:03:41 GMT 2023","73","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","2.Disclaimer Alert is present",""
"failed","Thu Feb 16 08:07:16 GMT 2023","Thu Feb 16 08:07:18 GMT 2023","2275","","Email 1","","","","13. Verify Email",""
"passed","Thu Feb 16 08:04:37 GMT 2023","Thu Feb 16 08:04:43 GMT 2023","6219","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","7. Review Review Page",""
"passed","Thu Feb 16 08:04:09 GMT 2023","Thu Feb 16 08:04:25 GMT 2023","16473","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","5. Complete Build Your Portfolio",""
"passed","Thu Feb 16 08:04:57 GMT 2023","Thu Feb 16 08:05:26 GMT 2023","29170","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","9. Complete Risk Profile and navigate to Review",""
