"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 08:11:34 GMT 2023","Thu Feb 16 08:11:34 GMT 2023","109","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","2.Disclaimer Alert is present",""
"passed","Thu Feb 16 08:11:34 GMT 2023","Thu Feb 16 08:11:40 GMT 2023","6114","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","3. Create new Individual investment account",""
"passed","Thu Feb 16 08:14:34 GMT 2023","Thu Feb 16 08:15:07 GMT 2023","33014","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","13. Complete Final Review",""
"passed","Thu Feb 16 08:11:40 GMT 2023","Thu Feb 16 08:11:50 GMT 2023","9940","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"passed","Thu Feb 16 08:11:50 GMT 2023","Thu Feb 16 08:12:09 GMT 2023","18897","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","5. Complete Build Your Portfolio",""
"passed","Thu Feb 16 08:13:26 GMT 2023","Thu Feb 16 08:13:33 GMT 2023","6583","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","10. Scrape results from Review and navigate to Applicants",""
"passed","Thu Feb 16 08:12:09 GMT 2023","Thu Feb 16 08:12:20 GMT 2023","10644","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","6. Complete Ethical Overlay",""
"passed","Thu Feb 16 08:12:28 GMT 2023","Thu Feb 16 08:12:41 GMT 2023","13135","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","8. Navigate to Risk Profile",""
"failed","Thu Feb 16 08:15:18 GMT 2023","Thu Feb 16 08:15:20 GMT 2023","2098","","Email 1","","","","13. Verify Email",""
"passed","Thu Feb 16 08:14:04 GMT 2023","Thu Feb 16 08:14:19 GMT 2023","15758","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","11. Complete Applicants",""
"passed","Thu Feb 16 08:14:19 GMT 2023","Thu Feb 16 08:14:34 GMT 2023","14845","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","12. Complete Bank Details",""
"passed","Thu Feb 16 08:12:20 GMT 2023","Thu Feb 16 08:12:28 GMT 2023","7784","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","7. Review Review Page",""
"passed","Thu Feb 16 08:11:08 GMT 2023","Thu Feb 16 08:11:34 GMT 2023","25620","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","1. Validate login credentials1",""
"passed","Thu Feb 16 08:12:41 GMT 2023","Thu Feb 16 08:13:17 GMT 2023","35645","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","9. Complete Risk Profile and navigate to Review",""
