"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 16 07:29:57 GMT 2023","Thu Feb 16 07:29:59 GMT 2023","2132","","Email 1","","","","13. Verify Email",""
"passed","Thu Feb 16 07:26:30 GMT 2023","Thu Feb 16 07:26:51 GMT 2023","20928","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","5. Complete Build Your Portfolio",""
"passed","Thu Feb 16 07:29:00 GMT 2023","Thu Feb 16 07:29:13 GMT 2023","13394","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","12. Complete Bank Details",""
"passed","Thu Feb 16 07:26:19 GMT 2023","Thu Feb 16 07:26:30 GMT 2023","11138","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","4. Navigate to Build Your Portfolio Page from Investment Choice",""
"passed","Thu Feb 16 07:26:51 GMT 2023","Thu Feb 16 07:27:04 GMT 2023","12685","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","6. Complete Ethical Overlay",""
"passed","Thu Feb 16 07:26:10 GMT 2023","Thu Feb 16 07:26:19 GMT 2023","8753","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","3. Create new Individual investment account",""
"passed","Thu Feb 16 07:28:44 GMT 2023","Thu Feb 16 07:29:00 GMT 2023","15765","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","11. Complete Applicants",""
"passed","Thu Feb 16 07:27:13 GMT 2023","Thu Feb 16 07:27:26 GMT 2023","12713","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","8. Navigate to Risk Profile",""
"passed","Thu Feb 16 07:29:13 GMT 2023","Thu Feb 16 07:29:42 GMT 2023","28586","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","13. Complete Final Review",""
"passed","Thu Feb 16 07:28:08 GMT 2023","Thu Feb 16 07:28:13 GMT 2023","5238","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","10. Scrape results from Review and navigate to Applicants",""
"passed","Thu Feb 16 07:25:42 GMT 2023","Thu Feb 16 07:26:10 GMT 2023","27811","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","1. Validate login credentials1",""
"passed","Thu Feb 16 07:27:26 GMT 2023","Thu Feb 16 07:27:59 GMT 2023","33260","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","9. Complete Risk Profile and navigate to Review",""
"passed","Thu Feb 16 07:26:10 GMT 2023","Thu Feb 16 07:26:10 GMT 2023","93","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","2.Disclaimer Alert is present",""
"passed","Thu Feb 16 07:27:04 GMT 2023","Thu Feb 16 07:27:13 GMT 2023","8495","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal1","","","","7. Review Review Page",""
