"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 15:22:46 GMT 2023","Wed Feb 15 15:23:14 GMT 2023","28298","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","13. Complete Final Review",""
"passed","Wed Feb 15 15:20:51 GMT 2023","Wed Feb 15 15:21:04 GMT 2023","12451","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","8. Navigate to Risk Profile",""
"passed","Wed Feb 15 15:19:54 GMT 2023","Wed Feb 15 15:20:04 GMT 2023","9829","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal3","","","","3. Create new Individual investment account",""
"passed","Wed Feb 15 15:17:43 GMT 2023","Wed Feb 15 15:17:50 GMT 2023","6522","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","10. Scrape results from Review and navigate to Applicants",""
"passed","Wed Feb 15 15:26:39 GMT 2023","Wed Feb 15 15:27:42 GMT 2023","63543","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","13. Complete Final Review",""
"passed","Wed Feb 15 15:23:54 GMT 2023","Wed Feb 15 15:24:14 GMT 2023","19840","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","5. Complete Build Your Portfolio",""
"passed","Wed Feb 15 15:17:01 GMT 2023","Wed Feb 15 15:17:35 GMT 2023","33577","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","9. Complete Risk Profile and navigate to Review",""
"passed","Wed Feb 15 15:24:26 GMT 2023","Wed Feb 15 15:24:33 GMT 2023","6784","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal4","","","","7. Review Review Page",""
"passed","Wed Feb 15 15:15:36 GMT 2023","Wed Feb 15 15:15:51 GMT 2023","14944","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","1. Validate login credentials",""
"passed","Wed Feb 15 15:16:40 GMT 2023","Wed Feb 15 15:16:47 GMT 2023","7077","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal10","","","","7. Review Review Page",""
